Analyzed file: THE TRAGEDY OF HAMLET PRINCE OF DENMARK.txt
word | frequency
convocation |          1
  imminent |          2
   withers |          1
    remain |          2
   patches |          1
forgiveness |          1
   roscius |          1
     amaze |          1
 countries |          1
 oerteemed |          1
  confound |          2
       eye |         15
    argues |          1
   himself |         21
   mystery |          1
      slow |          3
entreatments |          1
 oerraught |          1
  deserved |          1
   recount |          1
    treble |          2
    rotten |          2
     flash |          1
 continent |          2
     feels |          1
oermastert |          1
     herod |          1
   another |         13
     enemy |          3
   byandby |          4
   diction |          1
   oertook |          1
      ripe |          1
    corses |          1
 attribute |          1
    trophy |          1
affliction |          3
  outwards |          1
    spurns |          2
   triumph |          1
      jaws |          1
  wandring |          1
    poison |          6
     black |          8
  palpable |          1
  persuade |          1
  danskers |          1
      such |         56
   plautus |          1
   showers |          1
  absolute |          2
    blazon |          1
  chaunted |          1
    impond |          2
    livery |          3
    sweaty |          1
inventorially |          1
countenance |          4
 presently |          5
    erring |          1
  sterling |          1
    deject |          1
   remains |          3
 newhatchd |          1
  clemency |          1
     didst |          4
forgetting |          1
     white |          4
   sounded |          1
    houses |          2
  woodcock |          1
      huge |          1
 sovereign |          3
    clothe |          1
   seeming |          2
attractive |          1
   imagine |          1
    wounds |          2
      town |          1
     might |         32
   designd |          1
distilment |          1
      girl |          1
  servants |          2
   surmise |          1
 ignorance |          3
   trumpet |          5
     leads |          1
porpentine |          1
    sweart |          1
    trifle |          1
    physic |          1
      next |          5
 crocodile |          1
  wringing |          1
  deliverd |          1
  neptunes |          2
    summit |          2
       non |          1
   perfume |          2
       nor |         37
    button |          1
       not |        315
impartment |          1
       now |         98
     lived |          1
       wag |          2
      rite |          1
    kneels |          2
      news |         10
  thoughts |         17
     pinch |          1
      rack |          1
     green |          2
      toys |          1
  election |          3
      race |          1
    breaks |          2
complexion |          3
       was |         84
   grained |          1
       war |          2
     greet |          1
heavenkissing |          1
      grew |          1
       way |         11
illbreeding |          1
necessaries |          1
      grey |          1
       wax |          2
      what |        208
   summons |          1
   pitiful |          1
 fortified |          1
    israel |          1
    window |          1
      rise |          2
     flame |          2
  unsinewd |          1
      play |         45
    fought |          1
laboursome |          1
   quickly |          1
   dipping |          1
   pardont |          1
      wher |          1
      when |         56
       far |         11
   pardond |          2
     stuck |          1
       fat |          6
    capons |          1
struggling |          1
     catch |          2
  oerweigh |          1
       fay |          1
   treason |          5
      give |         60
   counsel |          3
     lives |          4
   depends |          2
    double |          6
    horrid |          2
     lofty |          1
    lowest |          1
  hyperion |          1
    ladies |          4
      suit |          3
oerhanging |          1
 feelingly |          1
   bastard |          1
     study |          1
   brokers |          1
     liege |          3
differences |          1
    direct |          4
  switzers |          1
      gain |          2
    alleys |          1
     abate |          1
       wed |          3
    tother |          1
     wharf |          1
     feeds |          1
penetrable |          1
   peating |          1
changeling |          1
thoughtsick |          1
     heres |          8
    dishes |          1
   eyelids |          1
     great |         26
      rags |          1
     wrong |          6
     crust |          1
  befitted |          1
     shirt |          1
    wanton |          3
 proceeded |          1
     songs |          2
   condole |          1
      whet |          1
  eruption |          1
      rage |          3
    behold |          1
 stockings |          1
     sides |          3
     heads |          2
     awork |          1
   certain |          4
     board |          1
     stuff |          3
     lookd |          4
       fed |          2
     widow |          1
    arrest |          1
       fee |          3
  eggshell |          1
      whit |          1
constantly |          1
retirement |          1
     donnd |          1
     looks |          8
     whale |          2
sentinelsfirst |          1
   provoke |          1
  threaten |          1
    whiles |          2
       few |          3
      foil |          2
 otherwise |          3
      rain |          1
     borne |          3
    nearer |          2
 repugnant |          1
  pleasing |          1
    voyage |          2
    market |          1
      keen |          2
   effects |          2
      gait |          2
indifferent |          3
 murtherer |          3
      keep |         19
    effect |          7
      hung |          1
    solemn |          3
  perceivd |          1
     sugar |          1
  unworthy |          2
  perceive |          1
   darkest |          1
       who |         44
     weigh |          2
  wondrous |          3
   seagown |          1
    unsure |          1
    drinks |          3
    volley |          1
       why |         64
     faith |         16
      died |          4
    denies |          1
     fares |          2
     alone |         10
    damned |          6
 satirical |          1
     along |          3
      diet |          2
      dies |          7
       win |          3
    lawyer |          1
    breach |          1
       wit |          5
ungracious |          1
      gall |          2
approaches |          1
     leans |          1
     shine |          1
  scratchd |          1
  ungalled |          1
     aloof |          2
    reword |          1
 termagant |          1
   matters |          2
     kllld |          1
  truelove |          2
traitorous |          1
      uses |          3
     visit |          5
    denied |          1
    unfold |          3
      dido |          1
    extent |          1
      rant |          1
     smote |          1
       fie |          5
    sables |          2
  greeting |          1
     bring |         12
    prayst |          1
    draggd |          1
      fond |          1
    losing |          1
       fit |         12
     pangs |          1
      hush |          1
    bedrid |          1
wantonness |          1
    honest |         11
      rank |          7
      digs |          1
    deaths |          1
  addition |          3
   bestowd |          2
   neglect |          1
    doubts |          1
      grow |          8
     carve |          1
      sure |          9
        ah |          3
proceeding |          1
     perdy |          1
        am |         56
   dreaded |          1
        an |         56
    former |          3
        as |        227
   foolery |          1
        at |         87
    yonder |          2
    mutine |          1
  nothings |          1
     peace |         10
 overhappy |          1
        ay |         38
      folk |          1
   looking |          1
   brother |          9
   porches |          1
      hurt |          2
      whos |          1
        be |        223
     prove |          3
     provd |          3
   brothel |          1
recoveries |          2
compulsatory |          1
    search |          1
      fool |          7
    sudden |          5
        by |        111
      whom |          6
  nickname |          1
  scarcely |          2
     willt |          1
   tumbled |          1
      foot |          3
     tinct |          1
  humanity |          1
     wills |          1
innovation |          1
 grandsire |          1
    charge |          8
  malhecho |          1
  familiar |          1
   breathe |          3
      food |          2
  survivor |          1
     actor |          3
       fly |          5
   forgery |          1
  withdrew |          1
    plunge |          1
    fennel |          1
  drabbing |          1
    freely |          4
 observers |          1
      gape |          1
 parchment |          1
   betoken |          1
     haunt |          1
 lightness |          1
   observd |          1
        do |        151
   thunder |          2
    nemean |          1
       woe |          8
      fore |          1
     argal |          3
   observe |          3
    armour |          3
   furnish |          1
  potently |          1
   punishd |          1
unsatisfied |          1
      dild |          1
 accounted |          1
 methought |          4
       woo |          1
       won |          1
      rare |          1
   warning |          1
       wot |          1
     which |         64
     needs |          7
     image |          4
   coinage |          1
        em |          2
inexplicable |          1
        et |          1
  profound |          2
    marble |          1
     never |         26
